Shipment_ID,Order_Date,Shipment_Date,Delivery_Date,Customer_ID,Customer_Region,Warehouse_Location,Product_Category,Shipping_Method,Shipping_Cost,Delivery_Status,Quantity_Shipped,Weight_Shipped,Distance_Shipped,Shipping_Provider,Handling_Cost,Fuel_Surcharge,Shipment_Value,Return_Status,Damaged_Goods,Customer_Satisfaction_Score,Delivery_Days,Carrier_On_Time_Percentage
11,1/11/2019,1/14/2019,1/14/2019,4225,Asia,Tokyo,Furniture,Ground,22.44548561,Delayed,23,90.81435355,1573.932691,DHL,5.139389778,4.860034482,568.2005211,No,Yes,1.30234037,6,87.9418909
12,1/12/2019,1/15/2019,1/16/2019,1858,North America,Berlin,Toys,Sea,48.35101339,On-Time,49,30.81126531,1909.130103,FedEx,12.60270093,4.070849728,841.3971495,Yes,Yes,1.013449513,8,92.70753429
13,1/13/2019,1/16/2019,1/22/2019,2316,Africa,Tokyo,Electronics,Sea,59.70893476,Delayed,4,54.55039939,102.5554967,UPS,6.576543247,6.505747911,560.7433707,No,No,2.522673055,9,91.27832656
14,1/14/2019,1/17/2019,1/22/2019,2603,Asia,Johannesburg,Food,Sea,63.89947853,Delayed,29,2.537469795,3626.274333,UPS,6.661972182,3.56139162,541.0155993,Yes,Yes,3.404388245,9,85.29725629
15,1/15/2019,1/19/2019,1/20/2019,1049,Asia,São Paulo,Electronics,Sea,34.69705489,Delayed,15,52.42657348,1755.36456,FedEx,10.79008659,9.637676499,909.8298359,Yes,Yes,3.51680063,8,93.07368954
16,1/16/2019,1/17/2019,1/23/2019,3711,Asia,Johannesburg,Food,Ground,46.00266724,Delayed,1,63.87573006,1573.48578,UPS,13.74840271,9.361469866,800.436085,Yes,No,2.905782945,9,91.9818631
17,1/17/2019,1/21/2019,1/25/2019,3578,Africa,New York,Toys,Air,80.05053062,On-Time,30,23.81335738,2994.723916,UPS,4.183484682,8.480279027,913.6189,Yes,Yes,1.499533253,3,83.27128641
18,1/18/2019,1/22/2019,1/21/2019,4683,Africa,Tokyo,Food,Ground,94.70932247,On-Time,29,58.10424903,2186.887059,FedEx,5.159206144,9.203002706,257.334702,Yes,Yes,1.681990087,9,83.08075507
19,1/19/2019,1/23/2019,1/28/2019,4131,North America,New York,Furniture,Air,87.5692298,Delayed,20,64.89319332,4904.408407,FedEx,6.449145403,4.491396885,548.1567123,No,Yes,4.408591935,4,90.39647856
20,1/20/2019,1/23/2019,1/29/2019,4238,South America,New York,Food,Ground,60.78551516,Delayed,33,68.8451648,1787.702684,FedEx,19.52746785,5.364303968,850.3485222,No,Yes,4.471644527,9,92.52933266
21,1/21/2019,1/23/2019,1/30/2019,4273,Asia,Berlin,Furniture,Sea,46.92635226,Delayed,41,77.75213054,3073.340253,UPS,9.148744999,7.420925926,155.5904361,Yes,Yes,3.695594151,8,98.27630111
22,1/22/2019,1/23/2019,1/25/2019,3904,South America,Tokyo,Toys,Sea,39.96609529,Delayed,44,31.47825467,1565.138992,FedEx,12.78182163,6.961459249,804.9290466,No,Yes,3.656871889,5,88.01668198
23,1/23/2019,1/25/2019,1/26/2019,1145,Africa,New York,Toys,Air,21.24609095,Delayed,36,56.99380716,4953.068951,UPS,6.347770629,8.906785956,223.8247142,No,No,3.390728512,6,94.53384555
24,1/24/2019,1/28/2019,1/27/2019,1914,Africa,São Paulo,Electronics,Air,19.58961225,On-Time,22,98.16711346,2231.104063,DHL,10.82827145,7.163310273,817.7128172,No,Yes,1.811703543,4,82.2138942
25,1/25/2019,1/29/2019,1/28/2019,4747,Africa,New York,Furniture,Ground,71.95218624,Delayed,13,89.86534498,3174.302766,DHL,3.334145139,9.978847082,631.4008907,No,No,2.713002801,5,96.90257152
26,1/26/2019,1/28/2019,2/4/2019,4040,South America,São Paulo,Furniture,Air,33.38149746,Delayed,7,95.2902101,642.3411381,FedEx,2.625358627,3.485057998,233.5741919,Yes,No,3.783578606,7,92.02904329
27,1/27/2019,1/29/2019,2/5/2019,2462,Africa,Berlin,Apparel,Ground,32.91955178,On-Time,8,38.92057165,3667.790832,UPS,10.43720348,8.329977422,499.6864704,No,No,3.149009088,4,91.9515763
28,1/28/2019,1/30/2019,2/1/2019,3289,North America,New York,Apparel,Air,99.8375549,On-Time,28,78.79934654,1353.358189,UPS,9.175867175,6.976348228,697.8099081,No,No,1.074321336,8,82.70641004
29,1/29/2019,2/2/2019,2/6/2019,1580,Africa,Johannesburg,Apparel,Air,26.91333621,On-Time,45,62.1798462,2248.580132,UPS,4.463845754,6.913864452,652.1602558,Yes,Yes,4.814227227,5,80.75209086
30,1/30/2019,2/3/2019,2/6/2019,3734,Europe,Berlin,Food,Air,23.32537835,On-Time,43,8.732140765,4416.833981,FedEx,14.37682572,3.258355948,455.8848364,Yes,Yes,4.37926421,6,93.32753362
31,1/31/2019,2/1/2019,2/5/2019,2584,South America,São Paulo,Apparel,Sea,18.8816705,On-Time,9,82.48604872,4853.057049,UPS,19.87226284,7.856017924,904.3982025,Yes,Yes,2.042180056,6,82.22407272
32,2/1/2019,2/2/2019,2/10/2019,1482,Europe,Berlin,Furniture,Sea,62.18248107,On-Time,25,67.871577,2128.614788,UPS,9.121642782,9.003760223,543.3002438,Yes,Yes,3.465835741,9,82.41243284
33,2/2/2019,2/6/2019,2/7/2019,4179,Africa,New York,Food,Ground,66.50774434,On-Time,16,20.29227727,4175.665313,UPS,13.24205545,2.185484615,530.5739336,Yes,No,4.692957535,5,83.56250278
34,2/3/2019,2/5/2019,2/11/2019,2249,North America,Tokyo,Toys,Air,42.87051336,On-Time,10,8.433986464,276.2114828,DHL,19.33356696,6.254968371,109.1380604,Yes,No,1.384044048,7,81.85718318
35,2/4/2019,2/6/2019,2/12/2019,1672,Asia,Tokyo,Electronics,Ground,58.1872002,On-Time,11,83.783702,4239.394409,UPS,16.9676295,3.921348291,926.0143703,Yes,No,3.012117923,9,91.88245789
36,2/5/2019,2/6/2019,2/10/2019,1630,Africa,São Paulo,Apparel,Air,80.95595779,Delayed,31,8.350732034,3151.256508,DHL,10.34394002,9.895481193,218.2607402,Yes,Yes,2.824972103,8,88.01809131
37,2/6/2019,2/10/2019,2/15/2019,3708,North America,São Paulo,Toys,Sea,83.62937515,On-Time,12,9.589709604,2448.64378,UPS,15.27481072,4.788328158,551.9274588,No,No,2.640820021,5,85.05582576
38,2/7/2019,2/8/2019,2/12/2019,1661,South America,Tokyo,Furniture,Sea,96.21208681,Delayed,31,43.02712465,4450.918889,UPS,4.306430725,2.283201738,813.3892213,Yes,Yes,4.342354436,3,88.37423861
39,2/8/2019,2/9/2019,2/12/2019,4503,Europe,São Paulo,Electronics,Air,84.18411873,Delayed,14,13.91238393,4228.23274,UPS,11.2178694,3.818576252,254.6806131,No,No,2.522584587,5,96.03866004
40,2/9/2019,2/12/2019,2/15/2019,3852,Europe,Berlin,Toys,Air,60.8357293,Delayed,44,91.41012495,1491.756029,DHL,7.023084989,6.538383898,551.0046255,Yes,Yes,1.254653333,5,97.6145087
41,2/10/2019,2/13/2019,2/19/2019,4726,Europe,Johannesburg,Electronics,Sea,26.16912693,Delayed,32,47.29325166,3959.527028,UPS,4.900946382,0.760893713,278.6506638,Yes,No,1.263350969,8,89.26204675
42,2/11/2019,2/14/2019,2/20/2019,3466,South America,Johannesburg,Apparel,Sea,18.97872019,Delayed,17,57.13052258,506.459759,FedEx,9.673056313,6.036019202,771.7102479,No,No,1.170978426,6,90.76830539
43,2/12/2019,2/14/2019,2/19/2019,1987,North America,Berlin,Furniture,Ground,14.90607009,Delayed,35,92.8465559,4115.592038,UPS,4.35826198,9.312247592,586.1241095,Yes,Yes,2.636581687,9,84.88679868
44,2/13/2019,2/17/2019,2/16/2019,4526,South America,Johannesburg,Electronics,Sea,69.98732486,Delayed,1,53.26119095,3380.523534,DHL,14.58173195,8.503627877,863.1770674,Yes,No,3.873625111,7,89.75840719
45,2/14/2019,2/18/2019,2/20/2019,4231,Europe,New York,Toys,Air,82.67826299,Delayed,29,35.68231902,448.4529914,DHL,10.21232079,0.676735367,899.8301027,No,No,1.814889848,9,94.21427253
46,2/15/2019,2/19/2019,2/23/2019,2546,Africa,Berlin,Apparel,Ground,55.78155556,On-Time,4,79.81693303,3418.570066,FedEx,11.56060339,9.933898787,666.2968083,No,Yes,3.585874082,5,89.35060801
47,2/16/2019,2/20/2019,2/25/2019,1649,Asia,São Paulo,Apparel,Air,14.92427574,Delayed,23,44.56359465,2906.791191,FedEx,4.634766896,6.987269237,739.1216839,No,No,3.748353888,4,85.73938511
48,2/17/2019,2/20/2019,2/22/2019,1968,South America,Berlin,Toys,Ground,58.19235171,Delayed,28,32.18770785,2976.805005,FedEx,4.5158899,1.622808243,571.7590949,No,No,2.020808496,6,91.0586526
49,2/18/2019,2/20/2019,2/24/2019,3637,South America,Tokyo,Toys,Air,94.21743354,Delayed,16,72.46133113,1461.411036,DHL,12.50147783,0.124160892,415.2072964,No,No,3.402230624,6,97.98646459
50,2/19/2019,2/21/2019,2/26/2019,2100,North America,São Paulo,Electronics,Sea,63.78518718,Delayed,12,80.25976482,1339.821028,UPS,19.73017546,1.712826363,665.7120269,No,No,3.73947336,5,96.87169323
51,2/20/2019,2/23/2019,2/28/2019,3556,North America,Tokyo,Food,Air,82.84847396,On-Time,21,79.27575867,3815.050209,UPS,3.732510498,8.381759207,912.8741923,Yes,Yes,2.866454491,8,94.6156052
52,2/21/2019,2/23/2019,2/24/2019,1440,South America,São Paulo,Apparel,Ground,82.01373836,Delayed,45,97.77860421,1291.49927,FedEx,7.143165714,0.216393249,445.8463614,Yes,Yes,2.346866389,4,85.24798302
53,2/22/2019,2/25/2019,2/25/2019,4325,Europe,Johannesburg,Electronics,Air,93.89161898,On-Time,17,78.77336141,2236.848637,FedEx,17.6502641,2.331473036,348.6895251,Yes,No,3.476606206,5,84.58963064
54,2/23/2019,2/27/2019,3/2/2019,1920,Asia,Berlin,Toys,Ground,79.32058891,On-Time,40,77.10837688,3476.997103,UPS,3.300896221,7.573055953,419.0150916,Yes,Yes,4.911388349,4,95.93220661
55,2/24/2019,2/27/2019,3/3/2019,1769,North America,New York,Electronics,Air,77.29304626,Delayed,13,85.81978275,407.2850941,FedEx,17.76594298,5.861105359,463.6277487,Yes,No,2.707365637,6,83.44503205
56,2/25/2019,3/1/2019,3/2/2019,2343,Europe,São Paulo,Toys,Sea,31.06923985,Delayed,32,0.518426932,2976.796429,UPS,11.4371477,7.827357104,119.8829775,No,Yes,2.566940385,4,91.50661484
57,2/26/2019,3/2/2019,3/7/2019,2826,Africa,São Paulo,Furniture,Sea,15.39326398,On-Time,37,36.56192541,2950.9881,UPS,9.348801931,7.461505038,523.5197484,No,No,2.85706761,9,88.33966893
58,2/27/2019,2/28/2019,3/2/2019,1262,North America,Tokyo,Toys,Air,56.58395185,Delayed,15,73.89150806,3424.301267,UPS,7.574250158,0.506013871,519.5985356,Yes,No,1.304873574,5,88.89174288
59,2/28/2019,3/3/2019,3/8/2019,4668,Europe,Johannesburg,Toys,Air,21.19907872,Delayed,12,60.17204161,1855.941196,UPS,7.348108846,8.925114191,609.0216363,No,Yes,3.212653119,3,88.63632465
60,3/1/2019,3/2/2019,3/7/2019,4729,Europe,Tokyo,Toys,Air,96.59762887,On-Time,49,18.16841426,2250.409073,DHL,7.504446484,2.270318343,394.6790289,Yes,No,2.314789549,3,97.09905279
61,3/2/2019,3/5/2019,3/10/2019,4906,Asia,Tokyo,Food,Ground,36.09322864,On-Time,15,30.72144236,1656.546877,UPS,17.92645546,5.533924402,632.4522162,No,No,1.485688489,4,81.65479077
62,3/3/2019,3/6/2019,3/7/2019,2577,Asia,Johannesburg,Toys,Air,86.7649783,Delayed,34,34.0108648,4042.759553,FedEx,15.02831414,6.442881565,884.3054948,Yes,No,2.865026964,8,94.87512754
63,3/4/2019,3/5/2019,3/8/2019,4445,Africa,New York,Apparel,Air,44.88621627,Delayed,6,56.99889706,661.7476926,FedEx,14.05501414,1.686282109,957.697441,Yes,No,1.013535946,5,95.86524076
64,3/5/2019,3/6/2019,3/12/2019,3684,Europe,Tokyo,Apparel,Ground,39.08748249,Delayed,17,83.2440305,4815.140228,FedEx,16.37748468,9.762312567,604.4316053,Yes,Yes,2.607140981,7,97.9146658
65,3/6/2019,3/9/2019,3/11/2019,4238,Europe,Tokyo,Electronics,Sea,94.16427151,On-Time,48,93.28293209,3177.832418,FedEx,6.628063934,4.881559561,90.46140627,No,Yes,1.422941072,3,88.59939914
66,3/7/2019,3/9/2019,3/11/2019,4824,Asia,São Paulo,Food,Air,42.69903149,Delayed,49,75.13419508,4435.664555,DHL,13.12477062,0.576426956,970.7741974,No,Yes,1.097170814,6,89.50123865
67,3/8/2019,3/12/2019,3/11/2019,3506,North America,Johannesburg,Electronics,Air,45.12591178,On-Time,20,84.37356382,2136.894977,UPS,10.2811923,9.372620448,720.5689579,Yes,Yes,4.297900185,9,98.2645959
68,3/9/2019,3/10/2019,3/17/2019,1998,North America,Berlin,Apparel,Sea,19.54826017,On-Time,9,47.27454787,1668.072561,UPS,16.08394943,5.862678432,369.1654661,No,No,4.664995213,5,88.71057016
69,3/10/2019,3/14/2019,3/18/2019,4351,South America,New York,Apparel,Sea,70.34019988,Delayed,5,39.2826443,4504.621793,FedEx,7.566609989,6.99193198,189.7998159,Yes,No,1.830698593,5,89.56742099
70,3/11/2019,3/13/2019,3/18/2019,1699,Asia,New York,Furniture,Ground,35.9955473,On-Time,23,39.57449895,503.3764141,FedEx,13.5772151,5.251757899,186.2476816,Yes,No,3.157193055,9,86.31283205
71,3/12/2019,3/14/2019,3/21/2019,3349,South America,Johannesburg,Toys,Air,62.70437511,Delayed,33,61.79583357,594.3650852,FedEx,17.87982341,8.347379548,209.3571858,No,No,2.111832629,3,80.60092156
72,3/13/2019,3/15/2019,3/22/2019,4602,Asia,São Paulo,Apparel,Air,63.22165336,Delayed,38,12.8615522,1503.740415,UPS,9.238708572,0.331334622,93.29389553,Yes,Yes,2.974309755,9,88.22803648
73,3/14/2019,3/15/2019,3/20/2019,2603,Africa,São Paulo,Electronics,Ground,74.7279726,On-Time,14,58.15967119,4799.277159,DHL,3.199197573,2.683783653,907.0464792,Yes,Yes,2.746525284,9,92.44673491
74,3/15/2019,3/17/2019,3/22/2019,2241,Europe,Johannesburg,Electronics,Sea,77.07173376,Delayed,17,66.68071959,3169.012363,DHL,11.2889148,4.696483564,563.7298212,Yes,Yes,2.07620422,7,93.1089723
75,3/16/2019,3/17/2019,3/22/2019,2125,Africa,São Paulo,Toys,Ground,56.3007191,On-Time,19,44.17141965,2775.426546,DHL,8.227504781,0.766036163,714.9614421,No,No,3.801574319,9,80.12366429
76,3/17/2019,3/19/2019,3/26/2019,3601,Asia,New York,Toys,Sea,39.78927528,On-Time,33,95.34013409,3529.728118,DHL,14.10005685,7.059066693,836.7030838,Yes,No,1.505963837,6,95.22000272
77,3/18/2019,3/22/2019,3/25/2019,3335,Europe,New York,Furniture,Ground,85.37058054,Delayed,1,61.0172206,2093.198035,FedEx,19.11859265,3.936634141,801.963956,Yes,No,1.212291129,7,89.35589667
78,3/19/2019,3/23/2019,3/26/2019,2190,North America,Berlin,Food,Sea,37.88790845,Delayed,13,22.38994749,3792.786772,UPS,10.74094972,2.726679903,888.4753425,Yes,No,4.070701732,6,89.89416187
79,3/20/2019,3/23/2019,3/27/2019,3668,North America,Johannesburg,Electronics,Ground,55.6758185,Delayed,46,48.18201761,1972.221183,FedEx,10.39142414,0.033788468,968.8918914,Yes,Yes,3.663720125,3,98.27313008
80,3/21/2019,3/25/2019,3/30/2019,2005,South America,Tokyo,Toys,Sea,46.11273249,Delayed,27,67.70274149,4133.552292,DHL,13.7825264,7.198303117,467.117084,No,Yes,2.994104497,5,85.40476201
81,3/22/2019,3/25/2019,3/28/2019,1035,Asia,Tokyo,Electronics,Sea,86.95705474,On-Time,6,32.7010979,1343.80246,FedEx,3.862955065,8.338093089,952.8186933,Yes,Yes,2.871159082,6,94.47138779
82,3/23/2019,3/27/2019,3/29/2019,1743,Asia,Berlin,Toys,Sea,48.8726678,On-Time,6,8.424339826,1394.95783,DHL,6.563111401,3.950405357,737.1254509,Yes,No,2.989645518,5,90.92074867
83,3/24/2019,3/25/2019,3/31/2019,2764,North America,Berlin,Apparel,Sea,44.748927,On-Time,33,58.55184565,2616.692694,UPS,18.54162786,5.64217977,117.1347808,No,Yes,2.748096304,4,93.31517077
84,3/25/2019,3/29/2019,3/29/2019,1352,Africa,São Paulo,Electronics,Sea,72.08413236,Delayed,30,94.81308178,2159.49818,DHL,14.05896704,2.276866259,697.6939652,No,No,2.571569183,4,87.93853158
85,3/26/2019,3/29/2019,3/31/2019,4747,Europe,Berlin,Apparel,Air,64.21969989,On-Time,46,48.76466256,3244.098063,FedEx,2.241992792,6.221976463,702.3808266,No,Yes,2.998762412,3,85.30494324
86,3/27/2019,3/30/2019,4/5/2019,2922,Africa,Berlin,Electronics,Sea,19.65221501,On-Time,35,90.65785352,1827.810866,UPS,5.683258506,0.121374583,910.5675356,No,Yes,3.114060685,3,90.3763931
87,3/28/2019,3/30/2019,4/2/2019,1072,Africa,Tokyo,Food,Air,55.73519257,Delayed,23,83.58484704,1160.447739,DHL,14.29107079,4.886438971,404.2855258,No,No,3.767609256,8,87.12388178
88,3/29/2019,3/30/2019,4/3/2019,3695,North America,São Paulo,Furniture,Sea,76.19305495,Delayed,10,15.16757197,2354.344729,DHL,15.75918565,6.442054818,605.6659253,No,No,3.844828643,3,84.2353124
89,3/30/2019,4/3/2019,4/5/2019,2376,North America,Berlin,Apparel,Air,99.28672881,Delayed,19,70.96290722,2809.172932,UPS,17.11747231,9.181917732,61.57817346,Yes,No,2.510516321,4,95.94548681
90,3/31/2019,4/2/2019,4/6/2019,2914,North America,Berlin,Toys,Air,66.62321506,On-Time,28,43.82881974,721.5742686,FedEx,7.259182461,3.813358171,365.4714801,Yes,Yes,2.654162091,6,89.04080031
91,4/1/2019,4/5/2019,4/5/2019,2093,South America,São Paulo,Food,Ground,43.32637598,Delayed,23,25.39950936,2788.025942,UPS,18.75851473,7.65190203,109.1315399,No,Yes,2.494788679,9,96.09899908
92,4/2/2019,4/6/2019,4/7/2019,3472,Africa,Johannesburg,Electronics,Sea,30.35364398,On-Time,4,68.85036639,1603.090959,FedEx,11.95304408,5.976870299,545.7793241,Yes,Yes,3.146143095,9,89.00660007
93,4/3/2019,4/5/2019,4/8/2019,4046,Asia,São Paulo,Apparel,Ground,88.55472107,On-Time,20,74.39474151,1968.334905,DHL,14.5377024,9.270121129,826.575268,No,Yes,2.813414152,9,90.57915626
94,4/4/2019,4/6/2019,4/11/2019,1707,Europe,Tokyo,Electronics,Ground,83.31086909,On-Time,19,18.39968371,1403.797464,DHL,12.74129953,3.983776757,246.1205575,Yes,No,4.558385853,7,98.91032458
95,4/5/2019,4/7/2019,4/11/2019,2804,South America,Johannesburg,Electronics,Sea,31.05305387,On-Time,42,91.48724586,4657.737536,UPS,4.209320984,3.190953399,551.0689933,No,Yes,3.785445068,9,98.07858003
96,4/6/2019,4/8/2019,4/11/2019,3608,Asia,New York,Electronics,Ground,28.05688811,On-Time,27,75.23915077,3419.848044,DHL,19.33606387,8.871419987,243.8082047,No,No,4.594625535,3,85.16210754
97,4/7/2019,4/9/2019,4/15/2019,3875,Africa,São Paulo,Furniture,Sea,74.36230991,Delayed,34,93.37086216,1319.676954,UPS,4.211760438,0.492444014,164.6540445,Yes,Yes,3.836547966,9,96.50445234
98,4/8/2019,4/12/2019,4/12/2019,4713,North America,Tokyo,Furniture,Ground,38.34568557,On-Time,4,32.04878527,3228.706359,DHL,6.587875215,1.363853929,535.4469523,No,No,4.883968594,7,87.41766619
99,4/9/2019,4/11/2019,4/17/2019,1955,Africa,Johannesburg,Toys,Sea,37.57589185,Delayed,38,93.96383407,4244.376324,DHL,16.64530184,0.824044346,125.1911899,Yes,No,3.542947113,7,81.35372602
100,4/10/2019,4/11/2019,4/18/2019,3564,Europe,São Paulo,Apparel,Sea,23.70612224,On-Time,7,37.16750695,2014.13474,FedEx,13.13474531,8.431099566,607.9868996,No,Yes,4.854200553,4,90.93983928
101,4/11/2019,4/14/2019,4/20/2019,3475,South America,Berlin,Food,Sea,33.75779677,On-Time,48,5.869991262,4151.487971,UPS,17.08668498,0.106074234,79.77058764,No,Yes,1.632679562,8,98.56398533
102,4/12/2019,4/14/2019,4/21/2019,4610,South America,São Paulo,Food,Air,48.47568018,Delayed,7,76.41545418,780.5305723,UPS,11.28325139,8.616571555,151.3792233,Yes,No,1.209910723,6,98.51196005
103,4/13/2019,4/15/2019,4/17/2019,1159,Europe,New York,Food,Ground,75.95545035,On-Time,26,70.49906034,4115.679011,DHL,8.785878237,4.512677954,572.4976112,No,Yes,3.316500741,4,82.40284219
104,4/14/2019,4/18/2019,4/22/2019,3196,Asia,São Paulo,Electronics,Air,40.2677285,On-Time,26,59.99214373,2706.068271,FedEx,18.59321899,0.040252789,611.8370423,Yes,No,4.933972823,3,94.65349667
105,4/15/2019,4/17/2019,4/20/2019,3823,Asia,Johannesburg,Furniture,Ground,39.57439055,Delayed,19,49.24442757,1122.642695,FedEx,2.652541715,4.016451772,77.53758359,Yes,Yes,2.670420989,4,95.25382784
106,4/16/2019,4/18/2019,4/22/2019,4301,South America,Johannesburg,Apparel,Ground,35.64219273,Delayed,9,3.700444397,2041.635509,UPS,17.41034397,1.86800841,594.7079486,Yes,Yes,1.848173449,4,87.0061509
107,4/17/2019,4/19/2019,4/21/2019,2735,South America,São Paulo,Electronics,Ground,53.04553008,On-Time,20,62.64742653,4940.085032,UPS,6.154720133,6.244004875,846.5773991,Yes,Yes,3.086165797,4,92.51330844
108,4/18/2019,4/22/2019,4/25/2019,2585,North America,Johannesburg,Furniture,Air,26.25730281,On-Time,42,41.97504421,3919.944523,DHL,17.2772539,6.793587899,736.2003684,Yes,Yes,3.595194498,3,89.27503009
109,4/19/2019,4/21/2019,4/27/2019,1066,Asia,Berlin,Furniture,Ground,53.70676606,On-Time,45,56.24083557,2879.680943,UPS,4.505539042,4.875275704,174.6258487,No,Yes,2.260714782,3,84.32996886
110,4/20/2019,4/23/2019,4/24/2019,4061,Europe,São Paulo,Apparel,Air,73.37580006,Delayed,16,43.21747353,584.6679204,DHL,12.44394135,0.405195254,612.8509152,No,No,3.859077434,4,94.46402134
111,4/21/2019,4/25/2019,4/24/2019,4883,Asia,Berlin,Apparel,Sea,12.68114536,On-Time,17,96.62258521,2094.879799,FedEx,17.98594254,6.561288044,688.6398751,Yes,Yes,4.900458028,4,84.99230145
112,4/22/2019,4/25/2019,4/25/2019,3428,North America,Berlin,Apparel,Ground,10.88014423,Delayed,22,60.60883566,1322.627055,UPS,10.52371364,8.420387836,85.36964166,No,No,4.587852487,7,86.46850731
113,4/23/2019,4/27/2019,5/2/2019,1057,South America,Tokyo,Electronics,Ground,16.76106191,Delayed,13,75.04901489,364.2953867,FedEx,15.43820013,7.203242773,862.5802852,Yes,No,2.166341494,6,83.61034969
114,4/24/2019,4/26/2019,4/30/2019,4330,South America,São Paulo,Toys,Sea,58.20940556,On-Time,12,93.66652127,2715.5999,FedEx,16.48408912,8.29957919,910.9540274,No,No,2.306894733,7,93.66615477
115,4/25/2019,4/28/2019,4/30/2019,1341,North America,Johannesburg,Apparel,Sea,86.90095749,Delayed,10,59.36413263,4447.036642,DHL,15.25689576,2.005095236,857.9296597,Yes,Yes,2.486164898,8,88.71575702
116,4/26/2019,4/30/2019,5/2/2019,4909,Europe,Berlin,Toys,Ground,10.43960194,On-Time,1,1.700220523,3381.243342,FedEx,18.65593526,8.888879397,833.3998946,No,No,2.578211114,6,88.42409184
117,4/27/2019,4/28/2019,5/3/2019,2153,South America,Tokyo,Electronics,Sea,94.29951741,On-Time,32,3.912021992,1255.905136,DHL,10.04301615,3.221934506,757.7169385,Yes,No,1.401277997,8,91.48669447
118,4/28/2019,4/30/2019,5/4/2019,3774,Africa,São Paulo,Toys,Air,19.56506604,Delayed,30,70.38267419,2872.187189,DHL,5.116257905,0.134048143,651.7604297,No,No,4.047851356,6,82.9880055
119,4/29/2019,5/3/2019,5/5/2019,2195,South America,São Paulo,Food,Air,85.77851753,Delayed,8,28.26897105,4716.739074,FedEx,2.860599147,8.433916463,694.6956547,Yes,No,2.461357054,4,97.0649239
120,4/30/2019,5/1/2019,5/7/2019,3817,Africa,New York,Toys,Ground,53.45692885,Delayed,21,58.14828287,3617.346114,FedEx,6.436277653,9.41821269,816.0755287,Yes,No,4.519279907,7,88.83707017
121,5/1/2019,5/5/2019,5/8/2019,3661,North America,New York,Apparel,Air,69.34216486,Delayed,22,20.62657952,3450.474758,DHL,4.57755507,6.555581974,679.3735354,No,No,4.707762492,6,86.96401031
122,5/2/2019,5/3/2019,5/11/2019,2232,North America,Berlin,Electronics,Air,55.9614686,Delayed,18,27.38976307,4841.109249,DHL,12.04307735,2.314366305,361.3406088,Yes,Yes,1.097725237,8,82.40712157
123,5/3/2019,5/5/2019,5/7/2019,4874,South America,New York,Apparel,Ground,52.93434027,Delayed,2,50.71178507,3996.377823,FedEx,5.32901607,2.517444643,407.1630471,Yes,No,4.95401228,6,83.19112988
